,commentID,comment,timestamp
0,23707776a63911ec81e414857fb42124," By mid-day, when even the best-fed were out and about again, there was a large crowd at Bag End, uninvited but not unexpected I now repeat it more correctly: Thank you very much for coming to my little partyâ€™ He called loudly to Frodo to send the wine round again Bilbo is free with his money, and there seems no lack of it; but I know of no tunnel-making",2022-03-18 14:45:52.475993
1,23707777a63911eca1af14857fb42124," They stood for a while facing one another, and the air of the room tingledThey went out into the hall There was, however, no sign nor mention of money or jewellery: not a penny-piece or a glass bead was given away The purchase of provisions fell almost to nothing throughout the district in the ensuing weeks; but as Bilboâ€™s catering had depleted the stocks of most stores, cellars and warehouses for miles around, that did not matter much",2022-03-18 14:45:55.265002
2,23707778a63911ecbeee14857fb42124," Anyway: there was this Mr/ donâ€™t know half of you half as well as I should like; and I like less than half of you half as well as you deserve They contained instruments, small, but of perfect make and enchanting tones He always used to joke about serious things",2022-03-18 14:45:58.062187
3,23707779a63911ec84bd14857fb42124,"My dear Bagginses and Boffins, he began again; and my dear Tooks and Brandybucks, and Grubbs, and Chubbs, and Burrowses, and Hornblowers, and Bolgers, Bracegirdles, Goodbodies, Brockhouses and ProudfootsThis is only a small selection of the assembled presents I am very fond indeed of it, and of all the dear old Shire; but I think I need a holidayThat was Gandalfâ€™s mark, of course, and the old man was Gandalf the Wizard, whose fame in the Shire was due mainly to his skill with fires, smokes, and lights",2022-03-18 14:46:00.854282
4,2370777aa63911ec812b14857fb42124,"â€˜Who will laugh, I wonder?â€™ said Gandalf, shaking his head Then he put on quickly some old untidy garments, and fastened round his waist a worn leather belt He always used to joke about serious thingsWhen every guest had been welcomed and was finally inside the gate, there were songs, dances, music, games, and, of course, food and drink",2022-03-18 14:46:03.652282
5,2370777ba63911ec813d14857fb42124,"â€˜Hiding, you mean,â€™ said Lobelia They began by offering him bad bargain-prices (as between friends) for various valuable and unlabelled things Also my good Sackville-Bagginses that I welcome back at last to Bag End Slowly his hands relaxed, and he began to tremble",2022-03-18 14:46:06.454283
6,2370777ca63911ec8c6d14857fb42124," Let it go! And then you can go yourself, and be free I hope he will be happy, when he gets used to being on his own Drogo, he married poor Miss Primula Brandybuck â€˜Has he left me that? I wonder why",2022-03-18 14:46:09.255282
7,2370777da63911eca9f214857fb42124," But I donâ€™t feel too sure about this whole affair He spoke sternly He gave orders for more wine to be served; then he got up and drained his own glass silently to the health of Bilbo, and slipped out of the pavilion And I shall keep it, I say",2022-03-18 14:46:12.053602
8,2370777ea63911eca5a114857fb42124," â€˜You will get plenty when the time comes â€˜It is quite made up What is it all about? It is mine isnâ€™t it? I found it, and Gollum would have killed me, if I hadnâ€™t kept itBut old Rory Brandybuck was not so sure",2022-03-18 14:46:14.855602
9,2370777fa63911eca4ad14857fb42124," The sun rose One hundred and forty-four flabbergasted hobbits sat back speechless â€˜You are always badgering me about my ring; but you have never bothered me about the other things that I got on my journey Sandyman,â€™ retorted the Gaffer, disliking the miller even more than usual",2022-03-18 14:46:17.651808
